ERROR - 2020-01-16 12:46:47,888 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run146___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,889 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1976___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,889 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1799___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,889 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run214___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,889 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run386___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,889 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run761___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,890 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run601___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,890 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2125___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,890 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run793___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,890 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2285___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,890 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run433___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:46:47,890 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run2277___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:48:54,921 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run553___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:48:54,922 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1448___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:48:54,922 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1895___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:48:54,922 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run37___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:48:54,923 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1867___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:48:54,923 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run265___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:48:54,924 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run1688___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
ERROR - 2020-01-16 12:48:54,924 - root - could not process file /net/cta-tank.app.tu-dortmund.de/POOL/projects/cta/PROD3/gammas/gamma_20deg_180deg_run305___cta-prod3_desert-2150m-Paranal-merged.simtel.gz. job did not return a result
